Round 1,,
NO.,PLAYER,TEAM
1,"Jonathan Taylor Ind, RB",Sell The Franchise
2,"Christian McCaffrey SF, RB",BYE Week
3,"Austin Ekeler LAC, RB",Josh such a better ref
4,"Cooper Kupp LAR, WR","please god, not again 👰‍♀️"
5,"Derrick Henry Ten, RB",ESPN IS WRONG AGAIN
6,"Justin Jefferson Min, WR",Am i fraud?
7,"Dalvin Cook Min, RB",Amon-Raw Doggin
8,"Ja'Marr Chase Cin, WR",Never Losing Again
9,"Najee Harris Pit, RB",Is that another plane?
10,"Alvin Kamara NO, RB",Knull to the Toilet Bowl
Round 2,,
NO.,PLAYER,TEAM
1,"Davante Adams LV, WR",Knull to the Toilet Bowl
2,"Deebo Samuel SF, WR",Is that another plane?
3,"Leonard Fournette TB, RB",Never Losing Again
4,"Stefon Diggs Buf, WR",Amon-Raw Doggin
5,"Joe Mixon Cin, RB",Am i fraud?
6,"D'Andre Swift Det, RB",ESPN IS WRONG AGAIN
7,"Mark Andrews Bal, TE","please god, not again 👰‍♀️"
8,"Aaron Jones GB, RB",Josh such a better ref
9,"Travis Kelce KC, TE",BYE Week
10,"CeeDee Lamb Dal, WR",Sell The Franchise
Round 3,,
NO.,PLAYER,TEAM
1,"James Conner Ari, RB",Sell The Franchise
2,"Javonte Williams Den, RB",BYE Week
3,"Michael Pittman Jr. Ind, WR",Josh such a better ref
4,"Tyreek Hill Mia, WR","please god, not again 👰‍♀️"
5,"Saquon Barkley NYG, RB",ESPN IS WRONG AGAIN
6,"Nick Chubb Cle, RB",Am i fraud?
7,"Mike Evans TB, WR",Amon-Raw Doggin
8,"Keenan Allen LAC, WR",Never Losing Again
9,"Tee Higgins Cin, WR",Is that another plane?
10,"Cam Akers LAR, RB",Knull to the Toilet Bowl
Round 4,,
NO.,PLAYER,TEAM
1,"Kyle Pitts Atl, TE",Knull to the Toilet Bowl
2,"DJ Moore Car, WR",Is that another plane?
3,"Darren Waller LV, TE",Never Losing Again
4,"David Montgomery Chi, RB",Amon-Raw Doggin
5,"A.J. Brown Phi, WR",Am i fraud?
6,"Diontae Johnson Pit, WR",ESPN IS WRONG AGAIN
7,"Travis Etienne Jr. Jax, RB","please god, not again 👰‍♀️"
8,"Mike Williams LAC, WR",Josh such a better ref
9,"Terry McLaurin Wsh, WR",BYE Week
10,"Josh Allen Buf, QB",Sell The Franchise
Round 5,,
NO.,PLAYER,TEAM
1,"Ezekiel Elliott Dal, RB",Sell The Franchise
2,"Breece Hall NYJ, RB",BYE Week
3,"Courtland Sutton Den, WR",Josh such a better ref
4,"J.K. Dobbins Bal, RB","please god, not again 👰‍♀️"
5,"Chris Godwin TB, WR",ESPN IS WRONG AGAIN
6,"Jaylen Waddle Mia, WR",Am i fraud?
7,"DK Metcalf Sea, WR",Amon-Raw Doggin
8,"Jerry Jeudy Den, WR",Never Losing Again
9,"Patrick Mahomes KC, QB",Is that another plane?
10,"Justin Herbert LAC, QB",Knull to the Toilet Bowl
Round 6,,
NO.,PLAYER,TEAM
1,"Brandin Cooks Hou, WR",Knull to the Toilet Bowl
2,"Josh Jacobs LV, RB",Is that another plane?
3,"Elijah Mitchell SF, RB",Never Losing Again
4,"George Kittle SF, TE",Amon-Raw Doggin
5,"Lamar Jackson Bal, QB",Am i fraud?
6,"Gabe Davis Buf, WR",ESPN IS WRONG AGAIN
7,"Marquise Brown Ari, WR","please god, not again 👰‍♀️"
8,"Allen Robinson II LAR, WR",Josh such a better ref
9,"Michael Thomas NO, WR",BYE Week
10,"Darnell Mooney Chi, WR",Sell The Franchise
Round 7,,
NO.,PLAYER,TEAM
1,"JuJu Smith-Schuster KC, WR",Sell The Franchise
2,"Kyler Murray Ari, QB",BYE Week
3,"Dalton Schultz Dal, TE",Josh such a better ref
4,"Adam Thielen Min, WR","please god, not again 👰‍♀️"
5,"Jalen Hurts Phi, QB",ESPN IS WRONG AGAIN
6,"Amari Cooper Cle, WR",Am i fraud?
7,"Amon-Ra St. Brown Det, WR",Amon-Raw Doggin
8,"Devin Singletary Buf, RB",Never Losing Again
9,"Clyde Edwards-Helaire KC, RB",Is that another plane?
10,"Miles Sanders Phi, RB",Knull to the Toilet Bowl
Round 8,,
NO.,PLAYER,TEAM
1,"Christian Kirk Jax, WR",Knull to the Toilet Bowl
2,"T.J. Hockenson Min, TE",Is that another plane?
3,"DeVonta Smith Phi, WR",Never Losing Again
4,"Dak Prescott Dal, QB",Amon-Raw Doggin
5,"Dallas Goedert Phi, TE",Am i fraud?
6,"Kareem Hunt Cle, RB",ESPN IS WRONG AGAIN
7,"Tony Pollard Dal, RB","please god, not again 👰‍♀️"
8,"Rashod Bateman Bal, WR",Josh such a better ref
9,"Hunter Renfrow LV, WR",BYE Week
10,"Chase Edmonds Den, RB",Sell The Franchise
Round 9,,
NO.,PLAYER,TEAM
1,"Elijah Moore NYJ, WR",Sell The Franchise
2,"Cordarrelle Patterson Atl, RB",BYE Week
3,"Rhamondre Stevenson NE, RB",Josh such a better ref
4,"DeAndre Hopkins Ari, WR","please god, not again 👰‍♀️"
5,"Dameon Pierce Hou, RB",ESPN IS WRONG AGAIN
6,"Kadarius Toney KC, WR",Am i fraud?
7,"Damien Harris NE, RB",Amon-Raw Doggin
8,"Allen Lazard GB, WR",Never Losing Again
9,"Drake London Atl, WR",Is that another plane?
10,"Tyler Lockett Sea, WR",Knull to the Toilet Bowl
Round 10,,
NO.,PLAYER,TEAM
1,"Antonio Gibson Wsh, RB",Knull to the Toilet Bowl
2,"Zach Ertz Ari, TE",Is that another plane?
3,"Bills D/ST Buf, D/ST",Never Losing Again
4,"Brandon Aiyuk SF, WR",Amon-Raw Doggin
5,"Chase Claypool Chi, WR",Am i fraud?
6,"Robert Woods Ten, WR",ESPN IS WRONG AGAIN
7,"James Robinson NYJ, RB","please god, not again 👰‍♀️"
8,"Aaron Rodgers GB, QB",Josh such a better ref
9,"Rashaad Penny Sea, RB",BYE Week
10,"Cole Kmet Chi, TE",Sell The Franchise
Round 11,,
NO.,PLAYER,TEAM
1,"Nyheim Hines Buf, RB",Sell The Franchise
2,"Marquez Valdes-Scantling KC, WR",BYE Week
3,"Packers D/ST GB, D/ST",Josh such a better ref
4,"Russell Wilson Den, QB","please god, not again 👰‍♀️"
5,"Chris Olave NO, WR",ESPN IS WRONG AGAIN
6,"AJ Dillon GB, RB",Am i fraud?
7,"Melvin Gordon III FA, RB",Amon-Raw Doggin
8,"Michael Carter NYJ, RB",Never Losing Again
9,"Tom Brady TB, QB",Is that another plane?
10,"Saints D/ST NO, D/ST",Knull to the Toilet Bowl
Round 12,,
NO.,PLAYER,TEAM
1,"Garrett Wilson NYJ, WR",Knull to the Toilet Bowl
2,"Joe Burrow Cin, QB",Is that another plane?
3,"Matthew Stafford LAR, QB",Never Losing Again
4,"Buccaneers D/ST TB, D/ST",Amon-Raw Doggin
5,"Jakobi Meyers NE, WR",Am i fraud?
6,"Pat Freiermuth Pit, TE",ESPN IS WRONG AGAIN
7,"49ers D/ST SF, D/ST","please god, not again 👰‍♀️"
8,"Justin Tucker Bal, K",Josh such a better ref
9,"Evan McPherson Cin, K",BYE Week
10,"Raheem Mostert Mia, RB",Sell The Franchise
Round 13,,
NO.,PLAYER,TEAM
1,"Colts D/ST Ind, D/ST",Sell The Franchise
2,"Ravens D/ST Bal, D/ST",BYE Week
3,"Matt Ryan Ind, QB",Josh such a better ref
4,"Justin Fields Chi, QB","please god, not again 👰‍♀️"
5,"Trey Lance SF, QB",ESPN IS WRONG AGAIN
6,"Derek Carr LV, QB",Am i fraud?
7,"Skyy Moore KC, WR",Amon-Raw Doggin
8,"Russell Gage TB, WR",Never Losing Again
9,"Tyler Boyd Cin, WR",Is that another plane?
10,"Jahan Dotson Wsh, WR",Knull to the Toilet Bowl
Round 14,,
NO.,PLAYER,TEAM
1,"Kirk Cousins Min, QB",Knull to the Toilet Bowl
2,"DJ Chark Det, WR",Is that another plane?
3,"James Cook Buf, RB",Never Losing Again
4,"Matt Gay LAR, K",Amon-Raw Doggin
5,"Tyler Bass Buf, K",Am i fraud?
6,"Michael Gallup Dal, WR",ESPN IS WRONG AGAIN
7,"Harrison Butker KC, K","please god, not again 👰‍♀️"
8,"George Pickens Pit, WR",Josh such a better ref
9,"Marvin Jones Jr. Jax, WR",BYE Week
10,"Dawson Knox Buf, TE",Sell The Franchise
Round 15,,
NO.,PLAYER,TEAM
1,"Treylon Burks Ten, WR",Sell The Franchise
2,"Rondale Moore Ari, WR",BYE Week
3,"Hunter Henry NE, TE",Josh such a better ref
4,"Alexander Mattison Min, RB","please god, not again 👰‍♀️"
5,"Daniel Carlson LV, K",ESPN IS WRONG AGAIN
6,"Matt Breida NYG, RB",Am i fraud?
7,"Mike Gesicki Mia, TE",Amon-Raw Doggin
8,"Tyler Higbee LAR, TE",Never Losing Again
9,"Cowboys D/ST Dal, D/ST",Is that another plane?
10,"Brandon McManus Den, K",Knull to the Toilet Bowl
Round 16,,
NO.,PLAYER,TEAM
1,"Jarvis Landry NO, WR",Knull to the Toilet Bowl
2,"Nick Folk NE, K",Is that another plane?
3,"Greg Joseph Min, K",Never Losing Again
4,"Trevor Lawrence Jax, QB",Amon-Raw Doggin
5,"Broncos D/ST Den, D/ST",Am i fraud?
6,"Dolphins D/ST Mia, D/ST",ESPN IS WRONG AGAIN
7,"Hayden Hurst Cin, TE","please god, not again 👰‍♀️"
8,"Zander Horvath LAC, RB",Josh such a better ref
9,"Khalil Herbert Chi, RB",BYE Week
10,"Ryan Succop TB, K",Sell The Franchise
